;Insertion Sort - UnSorted;Insertion Sort - Sorted;Insertion Sort - Reverse Sorted;;Selection Sort - Unsorted; Selection Sort-  Sorted;Selection sort - Reverse Sorted;;Quick Sort - Unsorted;Quick Sort - Sorted;;Quick Sort with Median - Unsorted;Quick Sort with Median - Sorted;;Merge Sort - Unsorted;Merge Sort- Sorted;;Bubble Sort - Unsorted;Bubble Sort - Sorted
Size = 10 - 1;1.67e-07 seconds;1e-06 seconds;1.458e-06 seconds;;1,125E-03;5E-07;1E-06;;1,208E-03;1,958E-03;;1.3958e-05;2.8e-05;;1,333E-03;2,625E-03;;1,375E-03;5E-07
2;4.58e-07 seconds;9.58e-07 seconds;1.458e-06 seconds;;1,333E-03;7.09e-07;1,083E-03;;2,083E-03;1,458E-03;;1.5708e-05;1.5833e-05;;2,292E-03;1,208E-03;;3,958E-03;4.59e-07
3;2.92e-07 seconds;1.25e-06 seconds;1.25e-06 seconds;;1,417E-03;7.09e-07;1,042E-03;;1.25e-06;1,875E-03;;1,275E-02;2.2542e-05;;2,458E-03;2.25e-06;;7.92e-07;4.16e-07
4;4.58e-07 seconds;9.16e-07 seconds;8.75e-07 seconds;;9.58e-07;1,167E-03;7.92e-07;;1,541E-03;1,208E-03;;3.6666e-05;1.6625e-05;;1,541E-03;1,334E-03;;1,208E-03;2.92e-07
5;6.67e-07 seconds;1e-06 seconds;8.75e-07 seconds;;9.16e-07;1E-06;7.08e-07;;2,167E-03;4,708E-03;;1.55e-05;2.1583e-05;;1,416E-03;1.25e-06;;1,417E-03;3.75e-07
;;;;;;;;;;;;;;;;;;;
20 - 1;2.09e-07 seconds;1.583e-06 seconds;2.084e-06 seconds;;2E-06;2,709E-03;3,875E-03;;4,041E-03;2,209E-03;;3.75e-05;2.9e-05;;4,208E-03;2E-06;;3,917E-03;3.33e-07
2;4.17e-07 seconds;1.833e-06 seconds;2.417e-06 seconds;;2,292E-03;2,167E-03;2,333E-03;;4,708E-03;3,417E-03;;0.000104958;4.3583e-05;;4,083E-03;2,708E-03;;3.25e-06;4.58e-07
3;3.33e-07 seconds;1.375e-06 seconds;2.25e-06 seconds;;2,292E-03;2,375E-03;1,833E-03;;5,125E-03;2,042E-03;;4.6167e-05;2.8084e-05;;2,792E-03;2,958E-03;;2,667E-03;4.16e-07
4;2.09e-07 seconds;2e-06 seconds;2.125e-06 seconds;;2,042E-03;1,583E-03;2,083E-03;;4,125E-03;3.5e-06;;3.9917e-05;4.6084e-05;;4,125E-03;2,083E-03;;2,917E-03;5E-07
5;4.58e-07 seconds;2.125e-06 seconds;2.209e-06 seconds;;3,417E-03;1,292E-03;1,542E-03;;3,417E-03;3.5e-06;;7.0459e-05;4.3208e-05;;2,917E-03;2E-06;;3,667E-03;3.75e-07
;;;;;;;;;;;;;;;;;;;
50 - 1;8.75e-07 seconds;7.5e-06 seconds;1.3375e-05 seconds;;8E-06;5.5e-06;6,791E-03;;7,291E-03;4.2959e-05;;8.8667e-05;0.000204708;;7,166E-03;4,292E-03;;1.3042e-05;3.75e-07
2;5e-07 seconds;1.0167e-05 seconds;1.325e-05 seconds;;8E-06;5.5e-06;9,834E-03;;7,083E-03;8,708E-03;;7.0334e-05;0.000160375;;6.25e-06;4,375E-03;;1,425E-02;7.5e-07
3;7.09e-07 seconds;7.666e-06 seconds;1.7958e-05 seconds;;1.3084e-05;5,584E-03;9,791E-03;;8,583E-03;8,709E-03;;0.00012325;0.000157042;;6,542E-03;4,333E-03;;1.5708e-05;3.75e-07
4;7.08e-07 seconds;1.1833e-05 seconds;1.3375e-05 seconds;;9,167E-03;6.25e-06;8,333E-03;;7,583E-03;8,583E-03;;0.00012475;0.000162916;;1.0708e-05;4,375E-03;;2,225E-02;4.58e-07
5;6.67e-07 seconds;9.084e-06 seconds;1.5375e-05 seconds;;9E-06;6,292E-03;6.5e-06;;1.05e-05;8,792E-03;;0.000118792;0.0001855;;7,375E-03;2.2708e-05;;1.3042e-05;5E-07
;;;;;;;;;;;;;;;;;;;
1000 - 1;8.875e-06 seconds;0.00233617 seconds;0.00594933 sec;;0.00360825;0.00180575;0.002243;;0.000165;0.000142166;;0.00291671;0.00930096;;0.000257625;8,275E-02;;0.00978354;4.25e-06
2;7.625e-06 seconds;0.00376808 seconds;0.00481483;;0.00279721;0.00333429;0.00197208;;0.000253417;0.000214292;;0.00433588;0.00948983;;0.000201709;8.7792e-05;;0.00521883;4,458E-03
3;8.916e-06 seconds;0.00382525 seconds;0.00532558;;0.00228046;0.00274554;0.0024945;;0.000220333;0.000216292;;0.00439183;0.00943796;;0.000156;8.6417e-05;;0.00633875;6.75e-06
4;9.375e-06 seconds;0.00249208 seconds;0.00577546;;0.00321433;0.00195704;0.00334663;;0.000212084;0.000219625;;0.00341233;0.00960125;;0.000160333;0.000131166;;0.00725454;5,083E-03
5;8.833e-06 seconds;0.00357871 seconds;0.00560625;;0.00340362;0.00180788;0.0036415;;0.000316042;0.000184792;;0.00589104;0.00808654;;0.00020625;8.2833e-05;;0.00530575;4,417E-03
;;;;;;;;;;;;;;;;;;;
10000 - 1;0.222067;5.1584e-05;;;0.18622;0.219267;;;0.00407033;0.00177029;;0.10926;0.181061;;0.00177842;0.00113762;;0.571279;4.4084e-05
2;0.227221;7.7917e-05;;;0.181564;0.179999;;;0.00414262;0.00264429;;0.110882;0.0838313;;0.00182704;0.001567;;0.566848;6.5125e-05
3;0.224382;7.7917e-05;;;0.181226;0.179975;;;0.00397942;0.00319104;;0.109379;0.0837935;;0.00178496;0.00156567;;0.570406;
